,doi,tweets,archive,subject-area,covid,title,authors,abstract,posted
0,10.1101/2021.11.24.21266735,1266,medRxiv,Epidemiology,True,"Increased risk of infection with SARS-CoV-2 Beta, Gamma, and Delta variant compared to Alpha variant in vaccinated individuals","[{'name': 'Stijn P. Andeweg'}, {'name': 'Harry Vennema'}, {'name': 'Irene Veldhuijzen'}, {'name': 'Naomi Smorenburg'}, {'name': 'Dennis Schmitz'}, {'name': 'Florian Zwagemaker'}, {'name': 'Arianne B. van Gageldonk-Lafeber'}, {'name': 'Susan J.M. Hahné'}, {'name': 'Chantal Reusken'}, {'name': 'Mirjam J. Knol'}, {'name': 'Dirk Eggink'}, {'name': ' '}, {'name': ' '}]","<p>The extent to which severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) variants of concern (VOC) break through infection- or vaccine-induced immunity is not well understood. Here, we analyze 28,578 sequenced SARS-CoV-2 samples from individuals with known immune status obtained through national community testing in the Netherlands from March to August 2021. We find evidence for an increased risk of infection by the Beta (B.1.351), Gamma (P.1), or Delta (B.1.617.2) variants compared to the Alpha (B.1.1.7) variant after vaccination. No clear differences were found between vaccines. However, the effect was larger in the first 14-59 days after complete vaccination compared to 60 days and longer. In contrast to vaccine-induced immunity, no increased risk for reinfection with Beta, Gamma or Delta variants relative to Alpha variant was found in individuals with infection-induced immunity.</p>",2021-11-24
1,10.1101/2021.11.21.21266484,233,medRxiv,Pediatrics,True,Durability of SARS-CoV-2 Antibodies from Natural Infection in Children and Adolescents,"[{'name': 'Sarah E. Messiah'}, {'name': 'Frances Brito'}, {'name': 'Harold W. Kohl'}, {'name': 'Stacia DeSantis'}, {'name': 'Melissa Valerio-Shewmaker'}, {'name': 'Jessica Ross'}, {'name': 'Michael D. Swartz'}, {'name': 'Ashraf Yaseen'}, {'name': 'Steven H. Kelder'}, {'name': 'Shiming Zhang'}, {'name': 'Onyinye S Omega-Njemnobi'}, {'name': 'Michael O. Gonzalez'}, {'name': 'Leqing Wu'}, {'name': 'Eric Boerwinkle'}, {'name': 'David Lakey'}, {'name': 'Jennifer A. Shuford'}, {'name': 'Stephen J. Pont'}]","<sec><title>Background</title><p>Recent data suggest the SARS-CoV-2 Delta (B.1.617.2) variant is more transmissible among children compared to the Alpha (B.1.1.7) variant. The true incidence and longitudinal presence of antibody response to SARS-CoV-2 infection is not known, however. We provided estimates of antibody response using Texas Coronavirus Antibody REsponse Survey (Texas CARES) data, a prospective population-based seroprevalence project designed to assess antibody status over time among the general population throughout the state.</p></sec><sec><title>Methods</title><p>In October 2020 Texas CARES began enrolling adults (aged 20-80 years) and children (aged 5-19 years). Participants were offered a series of three SARS-CoV-2 antibody tests over 6-8 months, or every 2-3 months that includes the immunoassay for detection of antibodies to the SARS-CoV-2 nucleocapsid protein (Roche N-test). Descriptive characteristics and COVID-19 infection-related symptom status was determined by questionnaire at the time of enrollment and prior to each successive blood draw. This analysis included participants ages 5-to-19 years old who have completed all three antibody assessments.</p></sec><sec><title>Results</title><p>From our sample (n=159; mean age 12.5 years, SD 3.6), 96% of those with evidence of nucleocapsid antibodies at baseline assessment continued to have antibodies &gt; six months later (mean 7.0 months, SD 0.97). There was no difference in the presence of antibodies by symptom status (asymptotic versus symptomatic) or severity (mild-moderate versus severe), sex, age group, or body mass index group (underweight, healthy weight, overweight, obesity) over the three antibody measurement timepoints.</p></sec><sec><title>Conclusions</title><p>These results suggest that infection-induced antibodies persist and thus may provide some protection against future infection for at least half a year. 57.9% of the sample were negative for infection-induced antibodies at their third measurement point, suggesting a significant proportion of children have still not acquired natural infection.</p></sec>",2021-11-24
2,10.1101/2021.11.22.469536,179,bioRxiv,Biophysics,False,Sampling the conformational landscapes of transporters and receptors with AlphaFold2,"[{'name': 'Diego del Alamo'}, {'name': 'Davide Sala'}, {'name': 'Hassane S. Mchaourab'}, {'name': 'Jens Meiler'}]","<p>Equilibrium fluctuations and triggered conformational changes often underlie the functional cycles of membrane proteins. For example, transporters mediate the passage of molecules across cell membranes by alternating between inward-facing (IF) and outward-facing (OF) states, while receptors undergo intracellular structural rearrangements that initiate signaling cascades. Although the conformational plasticity of these proteins has historically posed a challenge for traditional <italic>de novo</italic> protein structure prediction pipelines, the recent success of AlphaFold2 (AF2) in CASP14 culminated in the modeling of a transporter in multiple conformations to high accuracy. Given that AF2 was designed to predict static structures of proteins, it remains unclear if this result represents an underexplored capability to accurately predict multiple conformations and/or structural heterogeneity. Here, we present an approach to drive AF2 to sample alternative conformations of topologically diverse transporters and G-protein coupled receptors (GPCRs) that are absent from the AF2 training set. Whereas models generated using the default AF2 pipeline are conformationally homogeneous and nearly identical to one another, reducing the depth of the input multiple sequence alignments (MSAs) led to the generation of accurate models in multiple conformations. In our benchmark, these conformations were observed to span the range between two experimental structures of interest, suggesting that our protocol allows sampling of the conformational landscape at the energy minimum. Nevertheless, our results also highlight the need for the next generation of deep learning algorithms to be designed to predict ensembles of biophysically relevant states.</p>",2021-11-22
3,10.1101/2021.11.23.469762,146,bioRxiv,Neuroscience,False,In vitro and in vivo CRISPR-Cas9 screens reveal drivers of aging in neural stem cells of the brain,"[{'name': 'Tyson J. Ruetz'}, {'name': 'Chloe M. Kashiwagi'}, {'name': 'Bhek Morton'}, {'name': 'Robin W. Yeo'}, {'name': 'Dena S. Leeman'}, {'name': 'David W. Morgens'}, {'name': 'C. Kimberly Tsui'}, {'name': 'Amy Li'}, {'name': 'Michael C. Bassik'}, {'name': 'Anne Brunet'}]","<p>Aging impairs the ability of neural stem cells to transition from quiescence to activation (proliferation) in the adult mammalian brain. Neural stem cell (NSC) functional decline results in decreased production of new neurons and defective regeneration upon injury during aging<sup>1–9</sup>, and this is exacerbated in Alzheimer’s disease<sup>10</sup>. Many genes are upregulated with age in NSCs<sup>3, 11–13</sup>, and the knockout of some of these boosts old NSC activation and rejuvenates aspects of old brain function<sup>14–18</sup>. But systematic functional testing of genes in old NSCs – and more generally in old cells – has not been done. This has been a major limiting factor in identifying the most promising rejuvenation interventions. Here we develop <italic>in vitro</italic> and <italic>in vivo</italic> high-throughput CRISPR-Cas9 screening platforms to systematically uncover gene knockouts that boost NSC activation in old mice. Our genome-wide screening pipeline in primary cultures of young and old NSCs identifies over 300 gene knockouts that specifically restore old NSC activation. Interestingly, the top gene knockouts are involved in glucose import, cilium organization and ribonucleoprotein structures. To determine which gene knockouts have a rejuvenating effect for the aging brain, we establish a scalable CRISPR-Cas9 screening platform <italic>in vivo</italic> in old mice. Of the 50 gene knockouts we tested <italic>in vivo</italic>, 23 boost old NSC activation and production of new neurons in old brains. Notably, the knockout of <italic>Slc2a4</italic>, which encodes for the GLUT4 glucose transporter, is a top rejuvenating intervention for old NSCs. GLUT4 protein expression increases in the stem cell niche during aging, and we show that old NSCs indeed uptake ∼2-fold more glucose than their young counterparts. Transient glucose starvation increases the ability of old NSCs to activate, which is not further improved by knockout of <italic>Slc2a4/</italic>GLUT4. Together, these results indicate that a shift in glucose uptake contributes to the decline in NSC activation with age, but that it can be reversed by genetic or external interventions. Importantly, our work provides scalable platforms to systematically identify genetic interventions that boost old NSC function, including <italic>in vivo</italic> in old brains, with important implications for regenerative and cognitive decline during aging.</p>",2021-11-23
4,10.1101/2021.11.22.469533,143,bioRxiv,Neuroscience,False,The Unique Cytoarchitecture and Wiring of the Human Default Mode Network,"[{'name': 'Casey Paquola'}, {'name': 'Margaret Garber'}, {'name': 'Stefan Frässle'}, {'name': 'Jessica Royer'}, {'name': 'Shahin Tavakol'}, {'name': 'Raul Rodriguez-Cruces'}, {'name': 'Elizabeth Jeffries'}, {'name': 'Jonathan Smallwood'}, {'name': 'Boris Bernhardt'}]","<p>It is challenging to specify the role of the default mode network (DMN) in human behaviour. Contemporary theories, based on functional magnetic resonance imaging (MRI), suggest that the DMN is insulated from the external world, which allows it to support perceptually-decoupled states and to integrate external and internal information in the construction of abstract meanings. To date, the neuronal architecture of the DMN has received relatively little attention. Understanding the cytoarchitectural composition and connectional layout of the DMN will provide novel insights into its role in brain function. We mapped cytoarchitectural variation within the DMN using a cortical type atlas and a histological model of the entire human brain. Next, we used MRI acquired in healthy young adults to explicate structural wiring and effective connectivity. We discovered profound diversity of DMN cytoarchitecture. Connectivity is organised along the most dominant cytoarchitectural axis. One side of the axis is the prominent receiver, whereas the other side remains more insulated, especially from sensory areas. The structural heterogeneity of the DMN engenders a network-level balance in communication with external and internal sources, which is distinctive, relative to other functional communities. The neuronal architecture of the DMN suggests it is a protuberance from the core cortical processing hierarchy and holds a unique role in information integration.</p>",2021-11-22
5,10.1101/2021.11.22.469481,107,bioRxiv,Neuroscience,False,All-optical electrophysiology with improved genetically encoded voltage indicators reveals interneuron network dynamics in vivo,"[{'name': 'He Tian'}, {'name': 'Hunter C. Davis'}, {'name': 'J. David Wong-Campos'}, {'name': 'Linlin Z. Fan'}, {'name': 'Benjamin Gmeiner'}, {'name': 'Shahinoor Begum'}, {'name': 'Christopher A. Werley'}, {'name': 'Gabriel B. Borja'}, {'name': 'Hansini Upadhyay'}, {'name': 'Himali Shah'}, {'name': 'Jane Jacques'}, {'name': 'Pojeong Park'}, {'name': 'Yitong Qi'}, {'name': 'Vicente Parot'}, {'name': 'Karl Deisseroth'}, {'name': 'Adam E. Cohen'}]","<p>All-optical electrophysiology can be a powerful tool for studying neural dynamics <italic>in vivo</italic>, as it offers the ability to image and perturb membrane voltage in multiple cells simultaneously. The “Optopatch” constructs combine a red-shifted archaerhodopsin (Arch)-derived genetically encoded voltage indicator (GEVI) with a blue-shifted channelrhodopsin actuator (ChR). We used a video-based pooled screen to evolve Arch-derived GEVIs with improved signal-to-noise ratio (QuasAr6a) and kinetics (QuasAr6b). By combining optogenetic stimulation of individual cells with high-precision voltage imaging in neighboring cells, we mapped inhibitory and gap junction-mediated connections, <italic>in vivo</italic>. Optogenetic activation of a single NDNF-expressing neuron in visual cortex Layer 1 significantly suppressed the spike rate in some neighboring NDNF interneurons. Hippocampal PV cells showed near-synchronous spikes across multiple cells at a frequency significantly above what one would expect from independent spiking, suggesting that collective inhibitory spikes may play an important signaling role <italic>in vivo</italic>. By stimulating individual cells and recording from neighbors, we quantified gap junction coupling strengths. Together, these results demonstrate powerful new tools for all-optical microcircuit dissection in live mice.</p>",2021-11-22
6,10.1101/2021.11.23.469770,101,bioRxiv,Microbiology,True,Characterization of the immune resistance of SARS-CoV-2 Mu variant and the immunity induced by Mu infection,"[{'name': 'Keiya Uriu'}, {'name': 'Paúl Cárdenas'}, {'name': 'Erika Muñoz'}, {'name': 'Veronica Barragan'}, {'name': 'Yusuke Kosugi'}, {'name': 'Kotaro Shirakawa'}, {'name': 'Akifumi Takaori-Kondo'}, {'name': 'Kei Sato'}, {'name': ' '}, {'name': ' '}]","<p>We have revealed that the SARS-CoV-2 Mu variant is highly resistant to COVID-19 convalescent sera and vaccine sera.<sup>1</sup> However, it remains unclear how the immune resistance of the Mu variant is determined. Also, although the Mu variant is highly resistant to the sera obtained from COVID-19 convalescent during early pandemic (i.e., infected with prototypic virus) and vaccinated individuals (i.e., immunized based on prototypic virus), it was unaddressed how the convalescent sera from Mu-infected individuals function. In this study, we revealed that the two mutations in the spike protein of Mu variant, YY144-145TSN and E484K, are responsible for the potent immune resistance of Mu variant. Additionally, we showed that the convalescent sera obtained from the Mu-infected individuals can be broadly antiviral against the Mu variant as well as other SARS-CoV-2 variants of concern/interest. Our findings suggest that developing novel vaccines based on the Mu variant can be more effective against a broad range of SARS-CoV-2 variants.</p>",2021-11-24
7,10.1101/2021.11.23.21266775,94,medRxiv,Epidemiology,True,Recurring Spatiotemporal Patterns of COVID-19 in the United States,"[{'name': 'Hawre Jalal'}, {'name': 'Kyueun Lee'}, {'name': 'Donald S. Burke'}]","<p>We analyzed the waxing and waning patterns (“surges”) of reported SARS-CoV-2 cases from January 1, 2020 through Oct 31, 2021 in all states and provinces (n = 93) in the USA, Mexico, and Canada, and across all counties (N = 3142) in the USA. A correlation matrix of the 576 × 576 daily case incidence rates in the 50 US states generates a distinctive “checkerboard” pattern showing that the epidemic has consisted of seven distinct internally coherent spatiotemporal wave patterns, four in the first year of the epidemic, and three thus far in the second year. Geoclustering of state case rate trajectories reveals three dominant co-varying spatial clusters of similar case rate trajectories, in the northeastern, southeastern and central/western regions of the USA. The spatiotemporal patterns of epidemic year 1 have thus far been repeated (p&lt;.001) in epidemic year 2. The “checkerboard” pattern of the correlation matrix of case trajectories can be closely simulated as three sets of interacting sine waves with annual frequencies of 1:1:2 major cycles per year, corresponding to the northeastern, central/western, and southeastern state clusters. Case incidence patterns in Mexico and Canada have been similar to nearby regions in the southern US and the northern US, respectively. Time lapse videos allow visualization of the wave patterns. These highly structured geographical and temporal patterns, coupled with emerging evidence of annual repetition of these same patterns, show that SARS-CoV-2 case rates are driven at least in part by predictable seasonal factors.</p><sec><title>Significance Statement</title><p>Local COVID-19 rates wax and wane. Often these epidemic changes are attributed to localized human behavioral factors. Our finding of highly structured continental scale spatiotemporal patterns that cross state and national boundaries, coupled with emerging evidence of annual repetition of these same patterns, shows that COVID-19 transmission is driven at least in part by seasonal factors. Other epidemic factors such as vaccine coverage rates, or emergence of new strains like the Delta variant of SARS-CoV-2 appear to modify, but not totally eclipse, these underlying seasonal patterns. COVID-19 seasonal transmission patterns are associated with, and may be driven by, seasonal weather patterns. Predictability of these patterns can provide opportunities for forecasting the epidemic and for guiding public health preparedness and control efforts.</p></sec>",2021-11-24
8,10.1101/2021.11.21.469394,84,bioRxiv,Neuroscience,False,"Miniscope-LFOV: A large field of view, single cell resolution, miniature microscope for wired and wire-free imaging of neural dynamics in freely behaving animals","[{'name': 'Changliang Guo'}, {'name': 'Garrett J. Blair'}, {'name': 'Megha Sehgal'}, {'name': 'Federico N. Sangiuliano Jimka'}, {'name': 'Arash Bellafard'}, {'name': 'Alcino J. Silva'}, {'name': 'Peyman Golshani'}, {'name': 'Michele A. Basso'}, {'name': 'H. Tad Blair'}, {'name': 'Daniel Aharoni'}]","<p>We present a large field of view (FOV) open-source miniature microscope (MiniLFOV) designed to extend the capabilities of the UCLA Miniscope platform to large-scale, single cell resolution neural imaging in freely behaving large rodents and head-fixed mice. This system is capable of multiple imaging configurations, including deep brain imaging using implanted optical probes and cortical imaging through cranial windows. The MiniLFOV interfaces with existing open-source UCLA Miniscope DAQ hardware and software, can achieve single cell resolution imaging across a 3.6 × 2.7 mm field of view at 23 frames per second, has an electrically adjustable working distance of up to 3.5 mm±150 µm using an onboard electrowetting lens, incorporates an absolute head-orientation sensor, and weighs under 14 grams. The MiniLFOV provides a 30-fold larger FOV and yields 20-fold better sensitivity than Miniscope V3, and a 12-fold larger FOV with 2-fold better sensitivity than Miniscope V4. Power and data transmission are handled through a single, flexible coaxial cable down to 0.3 mm in diameter facilitating naturalistic behavior. We validated the MiniLFOV in freely behaving rats by simultaneously imaging &gt;1000 GCaMP7s expressing neurons in the CA1 layer of the hippocampus and in head-fixed mice by simultaneously imaging ∼2000 neurons in the mouse dorsal cortex through a 4 × 4 mm cranial window. For freely behaving experiments, the MiniLFOV supports optional wire-free operation using a 3.5 g wire-free data acquisition expansion board which enables close to 1-hour of wire-free recording with a 400 mAh (7.5 g) on-board single-cell lithium-polymer battery and expands wire-free imaging techniques to larger animal models. We expect this new open-source implementation of the UCLA Miniscope platform will enable researchers to address novel hypotheses concerning brain function in freely behaving animals.</p>",2021-11-22
9,10.1101/2021.11.24.21266401,71,medRxiv,Epidemiology,True,Effectiveness of BNT162b2 and ChAdOx1 against SARS-CoV-2 household transmission: a prospective cohort study in England,"[{'name': 'Samuel Clifford'}, {'name': 'Pauline Waight'}, {'name': 'Jada Hackman'}, {'name': 'Stephane Hué'}, {'name': 'Charlotte M Gower'}, {'name': 'Freja CM Kirsebom'}, {'name': 'Catriona Skarnes'}, {'name': 'Louise Letley'}, {'name': 'Jamie Lopez Bernal'}, {'name': 'Nick Andrews'}, {'name': 'Stefan Flasche'}, {'name': 'Elizabeth Miller'}]","<sec><title>Background</title><p>The ability of SARS-CoV-2 vaccines to protect against infection and onward transmission determines whether immunisation can control global circulation. We estimated effectiveness of BNT162b2 and ChAdOx1 vaccines against acquisition and transmission of the Alpha and Delta variants in a prospective household study in England.</p></sec><sec><title>Methods</title><p>Adult index cases in the community and their household contacts took oral-nasal swabs on days 1, 3 and 7 after enrolment. Swabs were tested by RT-qPCR with genomic sequencing conducted on a subset. We used Bayesian logistic regression to infer vaccine effectiveness against acquisition and transmission, adjusted for age, vaccination history and variant.</p></sec><sec><title>Findings</title><p>Between 2 February 2021 and 10 September 2021 213 index cases and 312 contacts were followed up. After excluding households lacking genomic proximity (N=2) or with unlikely serial intervals (N=16), 195 households with 278 contacts remained of whom 113 (41%) became PCR positive. Delta lineages had 1.64 times the risk (95% Credible Interval: 1.15 – 2.44) of transmission than Alpha; contacts older than 18 years were 1.19 times (1.04 - 1.52) more likely to acquire infection than children. Effectiveness of two doses of BNT162b2 against transmission of Delta was 31% (−3%, 61%) and 42% (14%, 69%) for ChAdOx1, similar to their effectiveness for Alpha. Protection against infection with Alpha was higher than for Delta, 71% (12%,95%) vs 24% (−2%, 64%) respectively for BNT162b2 and 26% (−39%, 73%) vs 14% (−5%, 46%) respectively for ChAdOx1.</p></sec><sec><title>Interpretation</title><p>BNT162b2 and ChAdOx1 reduce transmission of the Delta variant from breakthrough infections in the household setting though their protection against infection is low.</p></sec><sec><title>Funding</title><p>This study was funded by the UK Health Security Agency (formerly Public Health England) as part of the COVID-19 response.</p></sec>",2021-11-24
